invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total,month,hour
54,WALM045,Missouri City,Fashion accessories,15.43,1.0,2019-01-25,15:46:00,Credit card,6.1,0.48,15.43,1,15
55,WALM005,Fort Worth,Home and lifestyle,16.16,2.0,2019-07-03,11:49:00,Ewallet,6.5,0.48,32.32,7,11
56,WALM042,Bryan,Electronic accessories,85.98,8.0,2019-02-28,19:01:00,Cash,8.2,0.48,687.84,2,19
57,WALM003,San Antonio,Home and lifestyle,44.34,2.0,2019-03-27,11:26:00,Cash,5.8,0.36,88.68,3,11
58,WALM070,Hurst,Health and beauty,89.6,8.0,2019-07-02,11:28:00,Ewallet,6.6,0.33,716.8,7,11
59,WALM066,Grapevine,Home and lifestyle,72.35,10.0,2019-01-20,15:55:00,Cash,5.4,0.33,723.5,1,15
60,WALM031,Lewisville,Electronic accessories,30.61,6.0,2019-12-03,20:36:00,Cash,9.3,0.48,183.66,12,20
61,WALM042,Bryan,Sports and travel,24.74,3.0,2019-02-15,17:47:00,Credit card,10.0,0.48,74.22,2,17
62,WALM078,Del Rio,Home and lifestyle,55.73,6.0,2019-02-24,10:55:00,Ewallet,7.0,0.33,334.38,2,10
63,WALM037,League City,Sports and travel,55.07,9.0,2019-03-02,13:40:00,Ewallet,10.0,0.48,495.63,3,13
64,WALM069,Rockwall,Sports and travel,15.81,10.0,2019-06-03,12:27:00,Credit card,8.6,0.33,158.1,6,12
65,WALM087,Waxahachie,Health and beauty,75.74,4.0,2019-02-14,14:35:00,Cash,7.6,0.33,302.96,2,14
66,WALM042,Bryan,Health and beauty,15.87,10.0,2019-03-13,16:40:00,Cash,5.8,0.48,158.7,3,16
67,WALM020,Killeen,Health and beauty,33.47,2.0,2019-10-02,15:43:00,Ewallet,6.7,0.48,66.94,10,15
68,WALM029,Round Rock,Fashion accessories,97.61,6.0,2019-07-01,15:01:00,Ewallet,9.9,0.48,585.66,7,15
69,WALM079,La Porte,Sports and travel,78.77,10.0,2019-01-24,10:04:00,Cash,6.4,0.33,787.6999999999999,1,10
70,WALM035,San Angelo,Health and beauty,18.33,1.0,2019-02-02,18:50:00,Cash,4.3,0.48,18.33,2,18
71,WALM007,Arlington,Food and beverages,89.48,10.0,2019-06-01,12:46:00,Credit card,9.6,0.48,894.8000000000001,6,12
72,WALM017,McKinney,Fashion accessories,62.12,10.0,2019-11-02,16:19:00,Cash,5.9,0.48,621.1999999999999,11,16
73,WALM096,Eagle Pass,Food and beverages,48.52,3.0,2019-05-03,18:17:00,Ewallet,4.0,0.18,145.56,5,18
74,WALM083,Farmers Branch,Electronic accessories,75.91,6.0,2019-09-03,18:21:00,Cash,8.7,0.33,455.46,9,18
75,WALM072,Lancaster,Home and lifestyle,74.67,9.0,2019-01-22,10:55:00,Ewallet,9.4,0.33,672.03,1,10
76,WALM003,San Antonio,Electronic accessories,41.65,10.0,2019-01-13,17:04:00,Credit card,5.4,0.48,416.5,1,17
77,WALM058,Port Arthur,Fashion accessories,49.04,9.0,2019-09-01,14:20:00,Credit card,8.6,0.33,441.36,9,14
78,WALM094,Alamo,Fashion accessories,20.01,9.0,2019-12-01,15:48:00,Credit card,5.7,0.33,180.09,12,15
79,WALM063,Georgetown,Food and beverages,78.31,10.0,2019-05-03,16:24:00,Ewallet,6.6,0.33,783.1,5,16
80,WALM071,Lufkin,Health and beauty,20.38,5.0,2019-01-22,18:56:00,Cash,6.0,0.33,101.89999999999999,1,18
81,WALM061,Cedar Park,Health and beauty,99.19,6.0,2019-01-21,14:42:00,Credit card,5.5,0.33,595.14,1,14
82,WALM090,Brownwood,Food and beverages,96.68,3.0,2019-01-26,19:56:00,Ewallet,6.4,0.33,290.04,1,19
83,WALM061,Cedar Park,Food and beverages,19.25,8.0,2019-01-23,18:37:00,Ewallet,6.6,0.33,154.0,1,18
84,WALM041,Mission,Food and beverages,80.36,4.0,2019-02-23,18:45:00,Ewallet,8.3,0.48,321.44,2,18
85,WALM097,Alice,Sports and travel,48.91,5.0,2019-09-03,10:17:00,Cash,6.6,0.18,244.54999999999998,9,10
86,WALM043,Baytown,Sports and travel,83.06,7.0,2019-05-03,14:31:00,Ewallet,4.0,0.48,581.4200000000001,5,14
87,WALM042,Bryan,Fashion accessories,76.52,5.0,2019-03-25,10:23:00,Cash,9.9,0.48,382.59999999999997,3,10
88,WALM046,Temple,Food and beverages,49.38,7.0,2019-03-27,20:35:00,Credit card,7.3,0.48,345.66,3,20
89,WALM011,Lubbock,Sports and travel,42.47,1.0,2019-02-01,16:57:00,Cash,5.7,0.48,42.47,2,16
90,WALM064,Bedford,Health and beauty,76.99,6.0,2019-02-27,17:55:00,Cash,6.1,0.33,461.93999999999994,2,17
91,WALM095,Big Spring,Home and lifestyle,47.38,4.0,2019-01-23,10:25:00,Cash,7.1,0.33,189.52,1,10
92,WALM049,North Richland Hills,Sports and travel,44.86,10.0,2019-01-26,19:54:00,Ewallet,8.2,0.48,448.6,1,19
93,WALM040,Edinburg,Sports and travel,21.98,7.0,2019-10-01,16:42:00,Ewallet,5.1,0.48,153.86,10,16
94,WALM065,Texas City,Health and beauty,64.36,9.0,2019-12-03,12:09:00,Credit card,8.6,0.33,579.24,12,12
95,WALM075,San Marcos,Health and beauty,89.75,1.0,2019-06-02,20:05:00,Credit card,6.6,0.33,89.75,6,20
96,WALM034,College Station,Electronic accessories,97.16,1.0,2019-08-03,20:38:00,Ewallet,7.2,0.48,97.16,8,20
97,WALM014,Amarillo,Health and beauty,87.87,10.0,2019-03-29,10:25:00,Ewallet,5.1,0.48,878.7,3,10
98,WALM096,Eagle Pass,Electronic accessories,12.45,6.0,2019-09-02,13:11:00,Cash,4.1,0.18,74.69999999999999,9,13
99,WALM004,Austin,Food and beverages,52.75,3.0,2019-03-23,10:16:00,Ewallet,9.3,0.48,158.25,3,10
100,WALM011,Lubbock,Home and lifestyle,82.7,6.0,2019-05-03,18:14:00,Cash,7.4,0.48,496.20000000000005,5,18
101,WALM075,San Marcos,Fashion accessories,48.71,1.0,2019-03-26,19:20:00,Cash,4.1,0.33,48.71,3,19
102,WALM057,Euless,Fashion accessories,78.55,9.0,2019-01-03,13:22:00,Cash,7.2,0.33,706.9499999999999,1,13
103,WALM023,Midland,Electronic accessories,23.07,9.0,2019-01-02,11:27:00,Cash,4.9,0.48,207.63,1,11
104,WALM012,Garland,Food and beverages,58.26,6.0,2019-03-28,16:44:00,Cash,9.9,0.48,349.56,3,16
105,WALM078,Del Rio,Health and beauty,30.35,7.0,2019-03-19,18:19:00,Cash,8.0,0.33,212.45000000000002,3,18
106,WALM055,Waxahachie,Electronic accessories,88.67,10.0,2019-12-01,14:50:00,Ewallet,7.3,0.33,886.7,12,14
107,WALM038,Sugar Land,Fashion accessories,27.38,6.0,2019-05-01,20:54:00,Credit card,7.9,0.48,164.28,5,20
108,WALM049,North Richland Hills,Sports and travel,62.13,6.0,2019-03-22,20:19:00,Cash,7.4,0.48,372.78000000000003,3,20
109,WALM044,Pharr,Food and beverages,33.98,9.0,2019-03-24,10:43:00,Cash,4.2,0.48,305.82,3,10
110,WALM056,Rowlett,Electronic accessories,81.97,10.0,2019-03-03,14:30:00,Cash,9.2,0.33,819.7,3,14
111,WALM007,Arlington,Sports and travel,16.49,2.0,2019-05-02,11:32:00,Ewallet,4.6,0.48,32.98,5,11
112,WALM025,Waco,Health and beauty,98.21,3.0,2019-05-02,10:41:00,Credit card,7.8,0.48,294.63,5,10
113,WALM005,Fort Worth,Fashion accessories,72.84,7.0,2019-02-15,12:44:00,Cash,8.4,0.48,509.88,2,12
114,WALM024,Carrollton,Home and lifestyle,58.07,9.0,2019-01-19,20:07:00,Ewallet,4.3,0.48,522.63,1,20
115,WALM003,San Antonio,Home and lifestyle,80.79,9.0,2019-01-02,20:31:00,Credit card,9.5,0.36,727.11,1,20
116,WALM087,Waxahachie,Fashion accessories,27.02,3.0,2019-02-03,13:01:00,Credit card,7.1,0.33,81.06,2,13
117,WALM040,Edinburg,Fashion accessories,21.94,5.0,2019-05-03,12:29:00,Ewallet,5.3,0.48,109.7,5,12
118,WALM071,Lufkin,Fashion accessories,51.36,1.0,2019-01-16,15:26:00,Ewallet,5.2,0.33,51.36,1,15
119,WALM027,Abilene,Food and beverages,10.96,10.0,2019-02-02,20:48:00,Ewallet,6.0,0.48,109.60000000000001,2,20
120,WALM071,Lufkin,Home and lifestyle,53.44,2.0,2019-01-20,20:38:00,Ewallet,4.1,0.33,106.88,1,20
121,WALM014,Amarillo,Electronic accessories,99.56,8.0,2019-02-14,17:03:00,Credit card,5.2,0.48,796.48,2,17
122,WALM069,Rockwall,Sports and travel,57.12,7.0,2019-12-01,12:02:00,Credit card,6.5,0.33,399.84,12,12
123,WALM085,Kerrville,Sports and travel,99.96,9.0,2019-09-03,17:26:00,Credit card,4.2,0.33,899.64,9,17
124,WALM061,Cedar Park,Home and lifestyle,63.91,8.0,2019-03-13,19:52:00,Credit card,4.6,0.33,511.28,3,19
125,WALM088,Cleburne,Fashion accessories,56.47,8.0,2019-09-03,14:57:00,Ewallet,7.3,0.33,451.76,9,14
126,WALM034,College Station,Home and lifestyle,93.69,7.0,2019-10-03,18:44:00,Credit card,4.5,0.48,655.8299999999999,10,18
127,WALM016,Brownsville,Sports and travel,32.25,5.0,2019-01-27,13:26:00,Cash,9.0,0.48,161.25,1,13
128,WALM044,Pharr,Fashion accessories,31.73,9.0,2019-08-01,16:17:00,Credit card,5.9,0.48,285.57,8,16
129,WALM035,San Angelo,Food and beverages,68.54,8.0,2019-08-01,15:57:00,Ewallet,8.5,0.48,548.32,8,15
130,WALM018,Frisco,Sports and travel,90.28,9.0,2019-08-02,11:15:00,Ewallet,7.2,0.48,812.52,8,11
131,WALM022,Mesquite,Fashion accessories,39.62,7.0,2019-01-25,13:18:00,Cash,7.5,0.48,277.34,1,13
132,WALM068,Burleson,Sports and travel,92.13,6.0,2019-06-03,20:34:00,Cash,8.3,0.33,552.78,6,20
133,WALM055,Waxahachie,Sports and travel,34.84,4.0,2019-10-02,18:36:00,Cash,7.4,0.33,139.36,10,18
134,WALM002,Dallas,Electronic accessories,87.45,6.0,2019-02-17,14:40:00,Credit card,8.8,0.36,524.7,2,14
135,WALM062,Galveston,Health and beauty,81.3,6.0,2019-08-03,16:43:00,Ewallet,5.3,0.33,487.79999999999995,8,16
136,WALM098,Mineral Wells,Fashion accessories,90.22,3.0,2019-02-18,19:39:00,Cash,6.2,0.18,270.65999999999997,2,19
137,WALM027,Abilene,Electronic accessories,26.31,5.0,2019-01-18,20:59:00,Credit card,8.8,0.48,131.54999999999998,1,20
138,WALM093,Angleton,Home and lifestyle,34.42,6.0,2019-02-18,15:39:00,Cash,9.8,0.33,206.52,2,15
139,WALM029,Round Rock,Sports and travel,51.91,10.0,2019-02-16,12:21:00,Cash,8.2,0.48,519.0999999999999,2,12
140,WALM016,Brownsville,Sports and travel,72.5,8.0,2019-03-16,19:25:00,Ewallet,9.2,0.48,580.0,3,19
141,WALM023,Midland,Sports and travel,89.8,10.0,2019-01-23,13:00:00,Credit card,5.4,0.48,898.0,1,13
142,WALM012,Garland,Health and beauty,90.5,10.0,2019-01-25,13:48:00,Cash,8.1,0.48,905.0,1,13
143,WALM052,Mansfield,Health and beauty,68.6,10.0,2019-05-02,19:57:00,Cash,9.1,0.57,686.0,5,19
144,WALM097,Alice,Food and beverages,30.41,1.0,2019-02-22,10:36:00,Credit card,8.4,0.18,30.41,2,10
145,WALM045,Missouri City,Home and lifestyle,77.95,6.0,2019-01-21,16:37:00,Credit card,8.0,0.48,467.70000000000005,1,16
146,WALM047,Flower Mound,Health and beauty,46.26,6.0,2019-08-03,17:11:00,Credit card,9.5,0.48,277.56,8,17
147,WALM026,Denton,Fashion accessories,30.14,10.0,2019-10-02,12:28:00,Ewallet,9.2,0.48,301.4,10,12
148,WALM054,Sherman,Health and beauty,66.14,4.0,2019-03-19,12:46:00,Credit card,5.6,0.21,264.56,3,12
149,WALM049,North Richland Hills,Home and lifestyle,71.86,8.0,2019-06-03,15:07:00,Credit card,6.2,0.48,574.88,6,15
150,WALM065,Texas City,Health and beauty,32.46,8.0,2019-03-27,13:48:00,Credit card,4.9,0.33,259.68,3,13
151,WALM016,Brownsville,Fashion accessories,91.54,4.0,2019-03-23,19:20:00,Credit card,4.8,0.48,366.16,3,19
152,WALM070,Hurst,Sports and travel,34.56,7.0,2019-11-03,16:07:00,Credit card,7.3,0.33,241.92000000000002,11,16
153,WALM099,Weatherford,Fashion accessories,83.24,9.0,2019-01-29,11:56:00,Credit card,7.4,0.18,749.16,1,11
154,WALM071,Lufkin,Food and beverages,16.48,6.0,2019-07-02,18:23:00,Ewallet,9.9,0.33,98.88,7,18
155,WALM078,Del Rio,Sports and travel,80.97,8.0,2019-01-28,13:05:00,Cash,9.3,0.33,647.76,1,13
156,WALM074,Weslaco,Food and beverages,92.29,5.0,2019-02-20,15:55:00,Cash,9.0,0.33,461.45000000000005,2,15
157,WALM042,Bryan,Electronic accessories,72.17,1.0,2019-04-01,19:40:00,Cash,6.1,0.48,72.17,4,19
158,WALM013,Irving,Home and lifestyle,50.28,5.0,2019-07-03,13:58:00,Ewallet,9.7,0.48,251.4,7,13
159,WALM100,Canyon,Health and beauty,97.22,9.0,2019-03-30,14:43:00,Ewallet,6.0,0.18,874.98,3,14
160,WALM094,Alamo,Sports and travel,93.39,6.0,2019-03-27,19:18:00,Ewallet,10.0,0.33,560.34,3,19
161,WALM028,Odessa,Food and beverages,43.18,8.0,2019-01-19,19:39:00,Credit card,8.3,0.48,345.44,1,19
162,WALM019,Pasadena,Sports and travel,63.69,1.0,2019-02-25,16:21:00,Cash,6.0,0.48,63.69,2,16
163,WALM011,Lubbock,Food and beverages,45.79,7.0,2019-03-13,19:44:00,Credit card,7.0,0.48,320.53,3,19
164,WALM084,Schertz,Sports and travel,76.4,2.0,2019-01-30,19:42:00,Ewallet,6.5,0.33,152.8,1,19
165,WALM057,Euless,Food and beverages,39.9,10.0,2019-02-20,15:24:00,Credit card,5.9,0.33,399.0,2,15
166,WALM088,Cleburne,Health and beauty,42.57,8.0,2019-02-25,14:12:00,Ewallet,5.6,0.33,340.56,2,14
167,WALM061,Cedar Park,Home and lifestyle,95.58,10.0,2019-01-16,13:32:00,Cash,4.8,0.33,955.8,1,13
168,WALM040,Edinburg,Fashion accessories,98.98,10.0,2019-08-02,16:20:00,Credit card,8.7,0.48,989.8000000000001,8,16
169,WALM069,Rockwall,Food and beverages,51.28,6.0,2019-01-19,16:31:00,Cash,6.5,0.33,307.68,1,16
170,WALM089,Southlake,Sports and travel,69.52,7.0,2019-01-02,15:10:00,Credit card,8.5,0.33,486.64,1,15
171,WALM031,Lewisville,Health and beauty,70.01,5.0,2019-03-01,11:36:00,Ewallet,5.5,0.48,350.05,3,11
172,WALM039,Longview,Food and beverages,80.05,5.0,2019-01-26,12:45:00,Credit card,9.4,0.48,400.25,1,12
173,WALM039,Longview,Electronic accessories,20.85,8.0,2019-03-03,19:17:00,Cash,6.3,0.48,166.8,3,19
174,WALM047,Flower Mound,Electronic accessories,52.89,6.0,2019-01-19,17:34:00,Credit card,9.8,0.48,317.34000000000003,1,17
175,WALM071,Lufkin,Food and beverages,19.79,8.0,2019-01-18,12:04:00,Ewallet,8.7,0.33,158.32,1,12
176,WALM060,DeSoto,Home and lifestyle,33.84,9.0,2019-03-21,16:21:00,Ewallet,8.8,0.33,304.56000000000006,3,16
177,WALM073,Seguin,Food and beverages,22.17,8.0,2019-03-03,17:01:00,Credit card,9.6,0.33,177.36,3,17
178,WALM059,Pflugerville,Fashion accessories,22.51,7.0,2019-02-13,10:50:00,Credit card,4.8,0.33,157.57000000000002,2,10
179,WALM012,Garland,Food and beverages,73.88,6.0,2019-03-23,19:16:00,Ewallet,4.4,0.48,443.28,3,19
180,WALM086,Rosenberg,Health and beauty,86.8,3.0,2019-01-28,16:47:00,Ewallet,9.9,0.33,260.4,1,16
181,WALM073,Seguin,Fashion accessories,64.26,7.0,2019-09-02,10:00:00,Cash,5.7,0.33,449.82000000000005,9,10
182,WALM028,Odessa,Food and beverages,38.47,8.0,2019-01-23,11:51:00,Cash,7.7,0.48,307.76,1,11
183,WALM053,Conroe,Sports and travel,15.5,10.0,2019-03-23,10:55:00,Ewallet,8.0,0.57,155.0,3,10
184,WALM024,Carrollton,Health and beauty,34.31,8.0,2019-01-25,15:00:00,Ewallet,5.7,0.48,274.48,1,15
185,WALM097,Alice,Sports and travel,12.34,7.0,2019-04-03,11:19:00,Credit card,6.7,0.18,86.38,4,11
186,WALM072,Lancaster,Food and beverages,18.08,3.0,2019-05-03,19:46:00,Ewallet,8.0,0.33,54.239999999999995,5,19
187,WALM023,Midland,Home and lifestyle,94.49,8.0,2019-03-03,19:00:00,Ewallet,7.5,0.48,755.92,3,19
188,WALM038,Sugar Land,Home and lifestyle,46.47,4.0,2019-08-02,10:53:00,Cash,7.0,0.48,185.88,8,10
189,WALM078,Del Rio,Home and lifestyle,74.07,1.0,2019-10-02,12:50:00,Ewallet,9.9,0.33,74.07,10,12
190,WALM084,Schertz,Home and lifestyle,69.81,4.0,2019-01-28,20:50:00,Credit card,5.9,0.33,279.24,1,20
191,WALM059,Pflugerville,Home and lifestyle,77.04,3.0,2019-11-02,10:39:00,Credit card,7.2,0.33,231.12,11,10
192,WALM062,Galveston,Fashion accessories,73.52,2.0,2019-01-15,13:41:00,Ewallet,4.6,0.33,147.04,1,13
193,WALM090,Brownwood,Food and beverages,87.8,9.0,2019-03-16,19:08:00,Cash,9.2,0.33,790.1999999999999,3,19
194,WALM015,Grand Prairie,Home and lifestyle,25.55,4.0,2019-01-26,20:23:00,Ewallet,5.7,0.48,102.2,1,20
195,WALM003,San Antonio,Electronic accessories,32.71,5.0,2019-03-19,11:30:00,Credit card,9.9,0.48,163.55,3,11
196,WALM066,Grapevine,Fashion accessories,74.29,1.0,2019-01-13,19:30:00,Cash,5.0,0.33,74.29,1,19
197,WALM079,La Porte,Health and beauty,43.7,2.0,2019-03-26,18:03:00,Cash,4.9,0.33,87.4,3,18
198,WALM002,Dallas,Home and lifestyle,25.29,1.0,2019-03-23,10:13:00,Ewallet,6.1,0.36,25.29,3,10
199,WALM094,Alamo,Health and beauty,41.5,4.0,2019-12-03,19:58:00,Credit card,8.2,0.33,166.0,12,19
200,WALM047,Flower Mound,Food and beverages,71.39,5.0,2019-02-17,19:57:00,Credit card,5.5,0.48,356.95,2,19
201,WALM100,Canyon,Sports and travel,19.15,6.0,2019-01-29,10:01:00,Credit card,6.8,0.18,114.89999999999999,1,10
202,WALM005,Fort Worth,Electronic accessories,57.49,4.0,2019-03-15,11:57:00,Cash,6.6,0.48,229.96,3,11
203,WALM086,Rosenberg,Electronic accessories,61.41,7.0,2019-01-14,10:02:00,Cash,9.8,0.33,429.87,1,10
204,WALM029,Round Rock,Health and beauty,25.9,10.0,2019-06-02,14:51:00,Ewallet,8.7,0.48,259.0,6,14
205,WALM065,Texas City,Home and lifestyle,17.77,5.0,2019-02-15,12:42:00,Credit card,5.4,0.33,88.85,2,12
206,WALM085,Kerrville,Health and beauty,23.03,9.0,2019-03-01,12:02:00,Ewallet,7.9,0.33,207.27,3,12
207,WALM034,College Station,Electronic accessories,66.65,9.0,2019-04-01,18:19:00,Credit card,9.7,0.48,599.85,4,18
208,WALM055,Waxahachie,Home and lifestyle,28.53,10.0,2019-03-18,17:38:00,Ewallet,7.8,0.33,285.3,3,17
209,WALM043,Baytown,Fashion accessories,30.37,3.0,2019-03-28,13:41:00,Ewallet,5.1,0.48,91.11,3,13
210,WALM003,San Antonio,Electronic accessories,99.73,9.0,2019-02-03,19:42:00,Credit card,6.5,0.48,897.57,2,19
211,WALM050,Victoria,Electronic accessories,26.23,9.0,2019-01-25,20:24:00,Ewallet,5.9,0.48,236.07,1,20
212,WALM057,Euless,Food and beverages,93.26,9.0,2019-01-16,18:08:00,Cash,8.8,0.33,839.34,1,18
213,WALM088,Cleburne,Home and lifestyle,92.36,5.0,2019-03-20,19:17:00,Ewallet,4.9,0.33,461.8,3,19
214,WALM093,Angleton,Sports and travel,46.42,3.0,2019-04-01,13:24:00,Credit card,4.4,0.33,139.26,4,13
215,WALM065,Texas City,Sports and travel,29.61,7.0,2019-11-03,15:53:00,Cash,6.5,0.33,207.26999999999998,11,15
216,WALM072,Lancaster,Home and lifestyle,18.28,1.0,2019-03-22,15:05:00,Credit card,8.3,0.33,18.28,3,15
217,WALM038,Sugar Land,Sports and travel,24.77,5.0,2019-03-24,18:27:00,Cash,8.5,0.48,123.85,3,18
218,WALM081,Friendswood,Electronic accessories,94.64,3.0,2019-02-21,16:55:00,Cash,5.5,0.33,283.92,2,16
219,WALM043,Baytown,Fashion accessories,94.87,8.0,2019-12-02,12:58:00,Ewallet,8.7,0.48,758.96,12,12
220,WALM044,Pharr,Food and beverages,57.34,3.0,2019-10-03,18:59:00,Credit card,7.9,0.48,172.02,10,18
